"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2"
2017,25,0,157,164,4.94794751821623,5.07573681070446,12.5980292278411,0.127448314554382,12.5537691767756,0.133568532566092,12.5758992023084,3.2429157930175,3.23822220687682,12.5561281980432,0.113381216499515,12.7532902009957,0.085318427411172
2017,25,0.1,157,164,5.00024061598407,5.07573681070446,12.5885141487394,0.128765863962559,12.5537691767756,0.133568532566092,12.5711416627575,3.67022460360841,3.23822220687682,12.5657887034454,0.112016388046316,12.7532902009957,0.085318427411172
2017,25,0.25,157,164,5.11911515643591,5.07573681070446,12.5835830384609,0.129448281302493,12.5537691767756,0.133568532566092,12.5686761076183,3.42230956279149,3.23822220687682,12.5913188909947,0.108404451119638,12.7532902009957,0.085318427411172
2017,25,0.5,157,164,4.98594534561842,5.07573681070446,12.579356468519,0.130032984369979,12.5537691767756,0.133568532566092,12.5665628226473,3.65589812446359,3.23822220687682,12.6162408194536,0.104871497834008,12.7532902009957,0.085318427411172
2017,25,1,157,164,5.07573681070446,5.07573681070446,12.5731404175992,0.130892555074927,12.5537691767756,0.133568532566092,12.5634547971874,3.55394487443951,3.23822220687682,12.6459542034851,0.100650174241178,12.7532902009957,0.085318427411172
2017,25,2,157,164,5.37967314667479,5.07573681070446,12.5650663885842,0.132008417205671,12.5537691767756,0.133568532566092,12.5594177826799,3.75819457986707,3.23822220687682,12.6754586172787,0.0964487129231476,12.7532902009957,0.085318427411172
2017,30,0,63,62,1.92525243752759,1.662074972448,12.8620164082654,0.090497165008425,12.849630202591,0.0922480358742053,12.8558233054282,1.64375314344849,1.27722156501692,12.8941916169416,0.0649955342765882,12.9400424328157,0.0583340945422037
2017,30,0.1,63,62,2.05432028322033,1.662074972448,12.8504517003689,0.0921319640422403,12.849630202591,0.0922480358742053,12.85004095148,1.81584683090294,1.27722156501692,12.8851357856024,0.0663084152455108,12.9400424328157,0.0583340945422037
2017,30,0.25,63,62,2.13220950749014,1.662074972448,12.8432783835057,0.0931452525361423,12.849630202591,0.0922480358742053,12.8464542930484,1.88537946673388,1.27722156501692,12.8848035527444,0.0663565635971798,12.9400424328157,0.0583340945422037
2017,30,0.5,63,62,2.32969901367411,1.662074972448,12.8298301380181,0.095043400325097,12.849630202591,0.0922480358742053,12.8397301703045,1.87807161215891,1.27722156501692,12.8901770213279,0.0655776693321619,12.9400424328157,0.0583340945422037
2017,30,1,63,62,2.39834717706008,1.662074972448,12.826775372743,0.0954742869171873,12.849630202591,0.0922480358742053,12.838202787667,2.03369792126061,1.27722156501692,12.890195747573,0.06557495436024,12.9400424328157,0.0583340945422037
2017,30,2,63,62,2.74171307903792,1.662074972448,12.8161901483814,0.0969665804422695,12.849630202591,0.0922480358742053,12.8329101754862,2.11039505346469,1.27722156501692,12.8996224908089,0.0642077437982054,12.9400424328157,0.0583340945422037
2018,0,0,475,509,6.70446175697687,6.70446175697687,12.4588535441132,0.159506021376385,12.4588535441132,0.159506021376385,12.4588535441132,5.69970632608715,5.69970632608715,12.6522008061149,0.170391035178487,12.6522008061149,0.170391035178487
2018,0,0.1,475,509,6.70446175697687,6.70446175697687,12.4588535441132,0.159506021376385,12.4588535441132,0.159506021376385,12.4588535441132,5.69970632608715,5.69970632608715,12.6522008061149,0.170391035178487,12.6522008061149,0.170391035178487
