"season","min_minutes","side","excluded_players","n_stints","possession_exposure"
2014,5,"Away",2,0,0
2014,5,"Away",3,0,0
2014,5,"Away",4,0,0
2014,5,"Away",5,0,0
2014,10,"Home",0,16254,72745
2014,10,"Home",1,678,2748.5
2014,10,"Home",2,54,203
2014,10,"Home",3,8,31.5
2014,10,"Home",4,0,0
2014,10,"Home",5,0,0
2014,10,"Away",0,16327,73097
2014,10,"Away",1,618,2471.5
2014,10,"Away",2,38,118.5
2014,10,"Away",3,11,41
2014,10,"Away",4,0,0
2014,10,"Away",5,0,0
2014,15,"Home",0,13259,59596.5
2014,15,"Home",1,3078,13390
2014,15,"Home",2,522,2185.5
2014,15,"Home",3,112,494.5
2014,15,"Home",4,21,53.5
2014,15,"Home",5,2,8
2014,15,"Away",0,12905,58450
2014,15,"Away",1,3433,14611
2014,15,"Away",2,533,2208
2014,15,"Away",3,102,397
2014,15,"Away",4,16,50.5
2014,15,"Away",5,5,11.5
2014,20,"Home",0,6125,28803
2014,20,"Home",1,6661,29277.5
2014,20,"Home",2,3149,13354.5
2014,20,"Home",3,874,3542.5
2014,20,"Home",4,166,678.5
2014,20,"Home",5,19,72
2014,20,"Away",0,5744,27753.5
2014,20,"Away",1,6712,29482.5
2014,20,"Away",2,3321,13611.5
2014,20,"Away",3,959,3813.5
2014,20,"Away",4,236,994
2014,20,"Away",5,22,73
2014,25,"Home",0,960,4621.5
2014,25,"Home",1,5032,24048
2014,25,"Home",2,6072,26398.5
2014,25,"Home",3,3574,15117
2014,25,"Home",4,1187,4890
2014,25,"Home",5,169,653
2014,25,"Away",0,954,4610.5
2014,25,"Away",1,4628,22668
2014,25,"Away",2,5980,26065.5
2014,25,"Away",3,3947,16433.5
2014,25,"Away",4,1239,4974.5
2014,25,"Away",5,246,976
2014,30,"Home",0,80,477
2014,30,"Home",1,1165,5949
2014,30,"Home",2,2461,11707.5
2014,30,"Home",3,4316,19547.5
2014,30,"Home",4,6537,28141
2014,30,"Home",5,2435,9906
2014,30,"Away",0,66,375
2014,30,"Away",1,1109,5866.5
2014,30,"Away",2,2464,11696.5
2014,30,"Away",3,4175,18872.5
2014,30,"Away",4,6643,28534.5
2014,30,"Away",5,2537,10383
2015,0,"Home",0,18019,75978.5
2015,0,"Home",1,0,0
2015,0,"Home",2,0,0
2015,0,"Home",3,0,0
2015,0,"Home",4,0,0
2015,0,"Home",5,0,0
2015,0,"Away",0,18019,75978.5
2015,0,"Away",1,0,0
2015,0,"Away",2,0,0
2015,0,"Away",3,0,0
2015,0,"Away",4,0,0
2015,0,"Away",5,0,0
2015,5,"Home",0,17946,75742
